query	rank	left	top	width	height
新疆舞蹈视频大全	9	15	967	550	98
新疆舞蹈视频大全	10	15	1077	548	90
倾世皇妃	1	16	10	548	390
倾世皇妃	2	0	0	548	390
倾世皇妃	3	0	0	548	390
倾世皇妃	4	0	0	548	390
倾世皇妃	5	16	400	548	262
倾世皇妃	6	15	679	550	157
倾世皇妃	7	15	848	548	90
倾世皇妃	8	15	950	550	134
倾世皇妃	9	15	1096	550	118
倾世皇妃	10	15	1226	550	351
全国劳动模范先进事迹	1	15	5	550	180
全国劳动模范先进事迹	2	15	197	550	158
全国劳动模范先进事迹	3	15	367	550	87
全国劳动模范先进事迹	4	15	467	550	87
全国劳动模范先进事迹	5	15	567	550	87
全国劳动模范先进事迹	6	15	667	550	228
全国劳动模范先进事迹	7	15	907	550	87
全国劳动模范先进事迹	8	15	1007	550	87
全国劳动模范先进事迹	9	15	1107	550	112
全国劳动模范先进事迹	10	15	1231	550	112
qq空间电影	1	15	5	550	87
qq空间电影	2	15	105	550	87
qq空间电影	3	15	205	550	114
qq空间电影	4	15	331	550	87
qq空间电影	5	15	431	550	67
qq空间电影	6	15	511	550	228
qq空间电影	7	15	751	548	90
qq空间电影	8	15	853	550	114
qq空间电影	9	15	979	550	47
qq空间电影	10	15	1039	548	90
我的纪录片	1	15	5	548	90
我的纪录片	2	15	107	548	90
我的纪录片	3	15	209	550	206
我的纪录片	4	15	427	550	151
我的纪录片	5	15	590	550	90
我的纪录片	6	15	692	548	90
我的纪录片	7	15	794	550	228
我的纪录片	8	15	1034	548	90
我的纪录片	9	15	1136	550	87
我的纪录片	10	15	1236	548	90
ysl口红57号	1	15	5	550	359
ysl口红57号	2	15	376	550	134
ysl口红57号	3	15	522	548	90
ysl口红57号	4	0	0	0	1
ysl口红57号	5	15	624	550	178
ysl口红57号	6	15	814	548	90
ysl口红57号	7	15	916	550	113
ysl口红57号	8	15	1041	548	90
ysl口红57号	9	15	1143	548	90
ysl口红57号	10	15	1245	550	112
坐庄+迅雷高清	1	15	5	550	157
坐庄+迅雷高清	2	15	174	550	87
坐庄+迅雷高清	3	15	274	548	90
坐庄+迅雷高清	4	15	376	550	67
坐庄+迅雷高清	5	15	456	548	90
坐庄+迅雷高清	6	15	558	550	87
坐庄+迅雷高清	7	15	658	550	87
坐庄+迅雷高清	8	15	758	550	47
坐庄+迅雷高清	9	15	818	550	92
坐庄+迅雷高清	10	15	922	550	118
怎样看股票走势图	1	15	5	550	113
怎样看股票走势图	2	15	130	550	90
怎样看股票走势图	3	15	232	548	90
怎样看股票走势图	4	15	334	550	87
怎样看股票走势图	5	15	434	550	228
怎样看股票走势图	6	15	674	550	90
怎样看股票走势图	7	15	776	550	178
怎样看股票走势图	8	15	966	548	90
怎样看股票走势图	9	15	1068	550	87
怎样看股票走势图	10	15	1168	548	90
吸鱼机	1	15	5	548	90
吸鱼机	2	15	107	550	180
吸鱼机	3	15	299	550	87
吸鱼机	4	0	0	0	1
吸鱼机	5	15	399	550	87
吸鱼机	6	15	499	548	90
吸鱼机	7	15	601	550	87
吸鱼机	8	15	701	548	90
吸鱼机	9	15	803	550	98
吸鱼机	10	15	913	550	87
粉宝乐园	1	16	10	548	390
粉宝乐园	2	0	0	548	41
粉宝乐园	3	15	417	550	113
粉宝乐园	4	15	542	550	113
粉宝乐园	5	15	884	550	67
粉宝乐园	6	15	964	550	206
粉宝乐园	7	15	1182	550	87
粉宝乐园	8	15	1282	550	118
粉宝乐园	9	15	1412	550	113
粉宝乐园	10	15	1537	548	90
实时天气	1	15	5	550	87
实时天气	2	15	105	550	87
实时天气	3	15	205	550	113
实时天气	4	15	330	548	90
实时天气	5	15	432	550	87
实时天气	6	15	532	550	87
实时天气	7	15	632	550	87
实时天气	8	15	732	550	182
实时天气	9	15	926	550	228
实时天气	10	15	1166	550	87
冯辉轮滑视频	1	15	5	550	112
冯辉轮滑视频	2	15	129	550	112
冯辉轮滑视频	3	15	253	550	87
冯辉轮滑视频	4	15	365	550	206
冯辉轮滑视频	5	15	583	550	98
冯辉轮滑视频	6	15	693	550	228
冯辉轮滑视频	7	15	933	550	98
冯辉轮滑视频	8	15	1043	548	90
冯辉轮滑视频	9	15	1145	550	118
冯辉轮滑视频	10	15	1275	550	98
死亡循环2txt下载	1	15	5	550	87
死亡循环2txt下载	2	15	105	550	112
死亡循环2txt下载	3	15	229	548	90
死亡循环2txt下载	4	15	331	550	112
死亡循环2txt下载	5	15	455	550	87
死亡循环2txt下载	6	15	555	550	87
死亡循环2txt下载	7	15	655	550	87
死亡循环2txt下载	8	15	755	550	87
死亡循环2txt下载	9	15	855	550	112
死亡循环2txt下载	10	15	979	550	92
黄遂柱	1	15	5	550	135
黄遂柱	2	15	152	550	87
黄遂柱	3	15	252	550	87
黄遂柱	4	15	352	548	90
黄遂柱	5	15	454	548	90
黄遂柱	6	15	556	550	87
黄遂柱	7	15	656	550	158
黄遂柱	8	15	826	550	87
黄遂柱	9	15	926	548	90
黄遂柱	10	15	1028	550	184
折纸玫瑰视频	1	15	5	550	75
折纸玫瑰视频	2	15	92	550	206
折纸玫瑰视频	3	15	310	550	98
折纸玫瑰视频	4	15	420	550	75
折纸玫瑰视频	5	15	507	550	118
折纸玫瑰视频	6	15	637	550	228
折纸玫瑰视频	7	15	877	550	98
折纸玫瑰视频	8	15	987	550	98
折纸玫瑰视频	9	15	1097	548	90
折纸玫瑰视频	10	15	1199	548	90
莽荒纪txt免费下载	1	15	5	548	90
莽荒纪txt免费下载	2	15	107	548	90
莽荒纪txt免费下载	3	15	209	550	87
莽荒纪txt免费下载	4	15	309	550	166
莽荒纪txt免费下载	5	15	487	550	87
莽荒纪txt免费下载	6	15	587	550	166
莽荒纪txt免费下载	7	15	765	550	87
莽荒纪txt免费下载	8	15	865	550	87
莽荒纪txt免费下载	9	15	965	550	144
莽荒纪txt免费下载	10	15	1121	548	90
虚拟打印机	1	15	5	550	231
虚拟打印机	2	15	248	550	90
虚拟打印机	3	15	350	550	118
虚拟打印机	4	15	480	550	87
虚拟打印机	5	15	580	548	90
虚拟打印机	6	15	682	550	228
虚拟打印机	7	15	922	548	90
虚拟打印机	8	15	1024	550	113
虚拟打印机	9	15	1149	550	118
虚拟打印机	10	15	1279	550	118
退伍日记下载	1	15	5	550	98
退伍日记下载	2	15	115	550	112
退伍日记下载	3	15	239	550	87
退伍日记下载	4	15	339	550	87
退伍日记下载	5	15	439	550	87
退伍日记下载	6	15	539	550	87
退伍日记下载	7	15	639	550	118
退伍日记下载	8	15	769	550	87
退伍日记下载	9	15	869	550	87
退伍日记下载	10	15	969	548	90
名师工作室代表发言稿	1	15	5	550	112
名师工作室代表发言稿	2	15	129	550	112
名师工作室代表发言稿	3	15	253	550	178
名师工作室代表发言稿	4	15	443	550	87
名师工作室代表发言稿	5	15	543	550	112
名师工作室代表发言稿	6	15	667	550	112
名师工作室代表发言稿	7	15	791	550	112
名师工作室代表发言稿	8	15	915	550	112
名师工作室代表发言稿	9	15	1039	550	87
名师工作室代表发言稿	10	15	1139	550	112
玫瑰酱的做法	1	15	5	550	90
玫瑰酱的做法	2	15	107	550	112
玫瑰酱的做法	3	15	231	550	215
玫瑰酱的做法	4	15	458	550	112
玫瑰酱的做法	5	15	582	550	206
玫瑰酱的做法	6	15	800	550	228
玫瑰酱的做法	7	15	1040	550	112
玫瑰酱的做法	8	15	1164	550	158
玫瑰酱的做法	9	15	1334	550	112
玫瑰酱的做法	10	15	1458	550	112
蛮荒囚徒	1	15	5	550	87
蛮荒囚徒	2	15	105	550	87
蛮荒囚徒	3	15	205	550	113
蛮荒囚徒	4	15	330	550	87
蛮荒囚徒	5	15	430	550	87
蛮荒囚徒	6	15	530	550	87
蛮荒囚徒	7	15	630	550	158
蛮荒囚徒	8	15	800	548	90
蛮荒囚徒	9	15	902	550	233
蛮荒囚徒	10	15	1147	550	112
单机破解游戏下载大全中文版下载	1	15	5	550	87
单机破解游戏下载大全中文版下载	2	15	105	550	110
单机破解游戏下载大全中文版下载	3	15	227	548	90
单机破解游戏下载大全中文版下载	4	15	329	548	90
单机破解游戏下载大全中文版下载	5	15	431	548	90
单机破解游戏下载大全中文版下载	6	15	533	548	90
单机破解游戏下载大全中文版下载	7	15	635	550	90
单机破解游戏下载大全中文版下载	8	15	737	548	90
单机破解游戏下载大全中文版下载	9	15	839	548	90
单机破解游戏下载大全中文版下载	10	15	941	550	90
360分区助手	1	15	5	548	90
360分区助手	2	15	107	550	90
360分区助手	3	15	209	550	87
360分区助手	4	15	309	550	87
360分区助手	5	15	409	548	90
360分区助手	6	15	511	550	140
360分区助手	7	15	663	550	118
360分区助手	8	15	793	550	156
360分区助手	9	15	961	550	112
360分区助手	10	15	1085	548	90
生死狙击等待udp连接	1	15	5	550	246
生死狙击等待udp连接	2	15	263	550	87
生死狙击等待udp连接	3	15	363	550	158
生死狙击等待udp连接	4	15	533	550	87
生死狙击等待udp连接	5	15	633	550	112
生死狙击等待udp连接	6	15	757	550	112
生死狙击等待udp连接	7	15	881	550	112
生死狙击等待udp连接	8	15	1005	550	114
生死狙击等待udp连接	9	15	1131	550	112
生死狙击等待udp连接	10	15	1255	550	67
英雄联盟阿卡利神秘商店2015	1	15	5	548	90
英雄联盟阿卡利神秘商店2015	2	15	107	550	87
英雄联盟阿卡利神秘商店2015	3	15	207	548	90
英雄联盟阿卡利神秘商店2015	4	15	309	550	87
