query	rank	left	top	width	height
卫生间装修效果图小户型	3	15	484	538	109
卫生间装修效果图小户型	4	15	607	538	109
卫生间装修效果图小户型	5	15	730	538	109
卫生间装修效果图小户型	6	15	853	538	109
卫生间装修效果图小户型	7	15	976	538	109
卫生间装修效果图小户型	8	15	1099	538	85
卫生间装修效果图小户型	9	15	1198	538	109
卫生间装修效果图小户型	10	15	1321	538	109
qq音乐2015年度盛典	1	15	5	538	110
qq音乐2015年度盛典	2	15	129	538	109
qq音乐2015年度盛典	3	15	252	538	120
qq音乐2015年度盛典	4	15	386	538	86
qq音乐2015年度盛典	5	15	486	538	109
qq音乐2015年度盛典	6	15	609	538	210
qq音乐2015年度盛典	7	15	833	538	120
qq音乐2015年度盛典	8	15	967	538	85
qq音乐2015年度盛典	9	15	1066	538	110
qq音乐2015年度盛典	10	15	1190	538	125
自己怎样盘发简单好看	1	15	5	538	109
自己怎样盘发简单好看	2	15	128	538	243
自己怎样盘发简单好看	3	15	385	538	120
自己怎样盘发简单好看	4	15	519	538	120
自己怎样盘发简单好看	5	15	653	538	120
自己怎样盘发简单好看	6	15	787	538	109
自己怎样盘发简单好看	7	15	910	538	85
自己怎样盘发简单好看	8	15	1009	538	109
自己怎样盘发简单好看	9	15	1132	538	109
自己怎样盘发简单好看	10	15	1255	538	109
述职述廉报告	1	15	5	538	85
述职述廉报告	2	15	104	538	85
述职述廉报告	3	15	203	538	165
述职述廉报告	4	15	382	538	85
述职述廉报告	5	15	481	538	85
述职述廉报告	6	15	580	538	85
述职述廉报告	7	15	679	538	85
述职述廉报告	8	15	778	538	85
述职述廉报告	9	15	877	538	125
述职述廉报告	10	15	1016	538	85
365新年快乐	1	15	5	538	85
365新年快乐	2	15	104	538	69
365新年快乐	3	15	187	538	86
365新年快乐	4	15	287	538	109
365新年快乐	5	15	410	538	165
365新年快乐	6	15	589	538	109
365新年快乐	7	15	712	538	86
365新年快乐	8	15	812	538	105
365新年快乐	9	15	931	538	85
365新年快乐	10	15	1030	538	85
三国志刘备传修改器	1	15	5	538	189
三国志刘备传修改器	2	15	208	538	114
三国志刘备传修改器	3	15	336	538	120
三国志刘备传修改器	4	15	470	538	120
三国志刘备传修改器	5	15	604	538	109
三国志刘备传修改器	6	15	727	538	120
三国志刘备传修改器	7	15	861	538	120
