@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
36,6,3,5,0.644759,1,0.017027,3,10,1,0,0,0,-5,-0.355241,1,0.017027,tie
31,6,2,9,0.929694,12,0.185283,3,6,0.710241,6,0.098258,-1,3,0.219452,6,0.087026,tie
9,1,3,3,0.417925,3,0.060216,4,8,0.873547,4,0.086596,-1,-5,-0.455622,-1,-0.02638,different
24,5,2,4,0.497041,0,0,2,4,0.520076,0,0,0,0,-0.023035,0,0,tie
15,3,3,7,0.779412,0,0,4,8,0.861022,1,0.014528,-1,-1,-0.081611,-1,-0.014528,different
21,3,3,8,0.85022,9,0.153442,4,10,1,14,0.134515,-1,-2,-0.14978,-5,0.018927,tie
23,6,4,9,0.936425,8,0.131714,3,9,1,0,0,1,0,-0.063575,8,0.131714,different
15,2,4,7,0.774735,5,0.084042,4,10,1,4,0.063624,0,-3,-0.225265,1,0.020419,tie
18,3,4,8,0.862903,8,0.102448,5,7,0.821349,3,0.044952,-1,1,0.041554,5,0.057496,tie
33,6,2,9,0.91357,11,0.180398,1,8,0.83617,0,0,1,1,0.0774,11,0.180398,different
9,2,3,6,0.699295,5,0.071892,3,6,0.739521,1,0.013615,0,0,-0.040226,4,0.058278,tie
24,3,3,8,0.840675,7,0.114034,3,8,0.845471,3,0.072101,0,0,-0.004796,4,0.041934,tie
21,3,1,1,0.124714,1,0.0193,3,6,0.678967,4,0.075304,-2,-5,-0.554253,-3,-0.056004,different
18,3,2,8,0.879433,16,0.32069,3,8,0.870728,9,0.125529,-1,0,0.008705,7,0.195161,different
30,5,3,10,1,13,0.192804,3,7,0.785778,4,0.072559,0,3,0.214222,9,0.120245,different
35,7,2,5,0.58577,4,0.065762,2,6,0.617582,0,0,0,-1,-0.031812,4,0.065762,tie
23,6,2,9,0.930213,2,0.027698,2,6,0.636743,0,0,0,3,0.29347,2,0.027698,tie
27,6,5,10,1,15,0.201488,3,9,0.916104,1,0.01754,2,1,0.083896,14,0.183948,tie
12,2,3,3,0.409136,3,0.068343,4,6,0.691763,2,0.032222,-1,-3,-0.282627,1,0.036122,different
21,3,3,5,0.543774,3,0.049226,2,4,0.483539,0,0,1,1,0.060235,3,0.049226,tie
21,4,3,8,0.859027,10,0.160447,3,9,0.921692,2,0.032744,0,-1,-0.062665,8,0.127704,different
15,3,5,9,0.933852,5,0.074036,5,10,1,0,0,0,-1,-0.066148,5,0.074036,different
21,3,4,8,0.857502,8,0.125179,3,9,0.921267,1,0.016461,1,-1,-0.063765,7,0.108718,tie
26,5,3,9,0.912866,11,0.169293,3,10,1,0,0,0,-1,-0.087134,11,0.169293,tie
22,5,4,7,0.784446,7,0.100474,4,9,0.923951,3,0.04719,0,-2,-0.139505,4,0.053284,tie
18,2,4,5,0.632988,6,0.100606,4,5,0.642564,4,0.065251,0,0,-0.009576,2,0.035355,tie
25,6,1,5,0.561856,5,0.086949,2,4,0.450526,0,0,-1,1,0.111329,5,0.086949,tie
30,6,3,4,0.48599,3,0.05237,2,6,0.639752,0,0,1,-2,-0.153761,3,0.05237,tie
30,5,4,9,0.932109,7,0.106525,6,9,0.928395,5,0.07985,-2,0,0.003714,2,0.026675,tie
9,2,5,9,0.937269,9,0.124321,5,9,0.92545,4,0.098799,0,0,0.01182,5,0.025523,tie
18,4,5,10,1,14,0.166544,6,10,1,9,0.116301,-1,0,0,5,0.050243,tie
18,2,4,6,0.730373,8,0.129487,5,10,1,7,0.089404,-1,-4,-0.269627,1,0.040082,different
