char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,baidu_rank_by_type_1,baidu_position_y_1,baidu_height_1,baidu_distance_by_type_1,baidu_title_char_length_1,baidu_title_word_length_1,baidu_title_matches_1,baidu_snippet_char_length_1,baidu_snippet_word_length_1,baidu_snippet_matches_1,baidu_vertical_type_1,baidu_images_number_1,baidu_images_area_fraction_1,baidu_is_vertical_1,baidu_is_identical_url_1,baidu_had_image_1,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,sogou_rank_by_type_1,sogou_position_y_1,sogou_height_1,sogou_distance_by_type_1,sogou_title_char_length_1,sogou_title_word_length_1,sogou_title_matches_1,sogou_snippet_char_length_1,sogou_snippet_word_length_1,sogou_snippet_matches_1,sogou_vertical_type_1,sogou_images_number_1,sogou_images_area_fraction_1,sogou_is_vertical_1,sogou_is_identical_url_1,sogou_had_image_1,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,delta_position_y_1,delta_height_1,delta_title_char_length_1,delta_title_word_length_1,delta_title_matches_1,delta_snippet_char_length_1,delta_snippet_word_length_1,delta_snippet_matches_1,delta_images_number_1,delta_images_area_fraction_1,delta_is_vertical_1,delta_is_identical_url_1,delta_had_image_1,preference
29,5,2,9,0.928571428571,12,0.241557589579,1,5.0,238.0,0,48,9,5,0,0,0,image,4,0.640795351598,1,0,1,2,7,0.71412924425,0,0.0,1,5.0,90.0,0,48,9,2,0,0,0,image_text,0,0.0,1,0,0,0,2,0.214442184322,12,0.241557589579,0.0,148.0,0,0,3,0,0,0,4,0.640795351598,0,0,1,baidu
15,2,4,6,0.723577235772,5,0.0752410312207,1,5.0,169.0,0,22,4,2,494,98,4,encyclopedia,1,0.186313543477,1,0,1,6,9,0.940533151059,7,0.0862399801156,1,5.0,206.0,0,34,6,2,0,0,0,video,4,0.39625772286,1,0,1,-2,-3,-0.216955915287,-2,-0.0109989488949,0.0,-37.0,-12,-2,0,494,98,4,-3,-0.209944179383,0,0,0,sogou
24,4,6,8,0.874167283494,8,0.116613330618,1,5.0,85.0,0,73,23,6,223,51,9,organic,0,0.0,0,1,0,4,9,0.937184115523,1,0.0131329176239,1,5.0,114.0,0,54,13,2,0,0,0,video,0,0.0,1,0,0,2,-1,-0.0630168320298,7,0.103480412994,0.0,-29.0,19,10,4,223,51,9,0,0.0,-1,1,0,sogou
30,5,4,9,0.942799461642,7,0.0818807006659,1,5.0,120.0,0,58,10,2,241,50,12,reading,1,0.170554522924,1,0,1,5,10,1.0,4,0.0542507564794,1,5.0,90.0,0,37,7,5,0,0,0,experience,0,0.0,1,0,0,-1,-1,-0.057200538358,3,0.0276299441865,0.0,30.0,21,3,-3,241,50,12,1,0.170554522924,0,0,1,sogou
24,5,3,3,0.351851851852,1,0.0183747600651,1,5.0,85.0,0,68,14,4,183,34,8,organic,0,0.0,0,0,0,5,9,0.914876690533,0,0.0,1,5.0,230.0,0,59,14,5,0,0,0,forum,0,0.0,1,0,0,-2,-6,-0.563024838681,1,0.0183747600651,0.0,-145.0,9,0,-1,183,34,8,0,0.0,-1,0,0,sogou
19,4,3,7,0.780739466896,10,0.161283311011,1,5.0,120.0,0,88,19,9,209,49,5,others,1,0.170554522924,1,0,1,5,10,1.0,1,0.0172408444636,1,5.0,90.0,0,89,19,5,0,0,0,image_text,0,0.0,1,1,0,-2,-3,-0.219260533104,9,0.144042466548,0.0,30.0,-1,0,4,209,49,5,1,0.170554522924,0,-1,1,baidu
18,3,5,9,0.913917940467,10,0.156574961046,1,5.0,129.0,0,22,5,2,272,57,6,encyclopedia,1,0.158655370162,1,0,1,5,8,0.863978127136,5,0.0938793264152,1,5.0,87.0,0,66,12,3,215,40,4,organic,0,0.0,0,0,0,0,1,0.0499398133306,5,0.0626956346306,0.0,42.0,-44,-7,-1,57,17,2,1,0.158655370162,1,0,1,sogou
39,7,2,3,0.331460674157,0,0.0,1,5.0,85.0,0,53,8,2,222,45,10,reading,0,0.0,1,0,0,4,9,0.922112802149,0,0.0,1,5.0,156.0,0,86,21,6,0,0,0,reading,0,0.0,1,0,0,-2,-6,-0.590652127991,0,0.0,0.0,-71.0,-33,-13,-4,222,45,10,0,0.0,0,0,0,baidu
27,3,3,9,0.925438596491,9,0.148951607644,1,5.0,120.0,0,92,14,6,169,33,4,download,1,0.170554522924,1,0,1,4,10,1.0,3,0.0520593692022,1,5.0,118.0,0,93,14,6,0,0,0,download,0,0.0,1,1,0,-1,-1,-0.0745614035088,6,0.0968922384414,0.0,2.0,-1,0,0,169,33,4,1,0.170554522924,0,-1,1,baidu
27,5,5,10,1.0,20,0.234072554801,1,5.0,243.0,0,40,8,4,0,0,0,experience,4,0.34059999694,1,1,1,5,10,1.0,7,0.0899379762538,1,5.0,254.0,0,37,8,4,0,0,0,experience,4,0.321374373658,1,0,1,0,0,0.0,13,0.144134578547,0.0,-11.0,3,0,0,0,0,0,0,0.0192256232825,0,1,0,baidu
