baidu_reciprocal_of_the_rank_of_the_first_identical_url,baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls,baidu_fraction_of_identical_urls_first_screen,baidu_had_identical_url_first_screen,sogou_reciprocal_of_the_rank_of_the_first_identical_url,sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls,sogou_fraction_of_identical_urls_first_screen,sogou_had_identical_url_first_screen,delta_reciprocal_of_the_rank_of_the_first_identical_url,delta_average_of_reciprocal_of_the_rank_of_the_identical_urls,delta_fraction_of_identical_urls_first_screen,delta_had_identical_url_first_screen,char_length,word_length,baidu_reciprocal_of_the_rank_of_the_first_vertical_result,baidu_position_y_of_the_first_vertical_result,baidu_height_of_the_first_vertical_result,baidu_reciprocal_of_the_rank_of_the_first_result_with_image,baidu_position_y_of_the_first_result_with_image,baidu_height_of_the_first_result_with_image,baidu_fraction_of_vertical_results_first_screen,baidu_area_fraction_of_vertical_result_first_screen,baidu_fraction_of_results_with_images_first_screen,baidu_area_fraction_of_results_with_images_first_screen,baidu_number_of_images_first_screen,baidu_area_fraction_of_images_first_screen,baidu_number_of_vertical_types_first_screen,baidu_had_encyclopedia_first_screen,baidu_had_gps_map_first_screen,baidu_had_forum_first_screen,baidu_had_experience_first_screen,sogou_reciprocal_of_the_rank_of_the_first_vertical_result,sogou_position_y_of_the_first_vertical_result,sogou_height_of_the_first_vertical_result,sogou_reciprocal_of_the_rank_of_the_first_result_with_image,sogou_position_y_of_the_first_result_with_image,sogou_height_of_the_first_result_with_image,sogou_fraction_of_vertical_results_first_screen,sogou_area_fraction_of_vertical_result_first_screen,sogou_fraction_of_results_with_images_first_screen,sogou_area_fraction_of_results_with_images_first_screen,sogou_number_of_images_first_screen,sogou_area_fraction_of_images_first_screen,sogou_number_of_vertical_types_first_screen,sogou_had_encyclopedia_first_screen,sogou_had_gps_map_first_screen,sogou_had_forum_first_screen,sogou_had_experience_first_screen,delta_reciprocal_of_the_rank_of_the_first_vertical_result,delta_position_y_of_the_first_vertical_result,delta_height_of_the_first_vertical_result,delta_reciprocal_of_the_rank_of_the_first_result_with_image,delta_position_y_of_the_first_result_with_image,delta_height_of_the_first_result_with_image,delta_fraction_of_vertical_results_first_screen,delta_area_fraction_of_vertical_result_first_screen,delta_fraction_of_results_with_images_first_screen,delta_area_fraction_of_results_with_images_first_screen,delta_number_of_images_first_screen,delta_area_fraction_of_images_first_screen,delta_number_of_vertical_types_first_screen,delta_had_encyclopedia_first_screen,delta_had_gps_map_first_screen,delta_had_forum_first_screen,delta_had_experience_first_screen,preference
0.25,0.25,0.25,1,0.5,0.5,0.2,1,-0.25,-0.25,0.05,0,21,4,1.0,5.0,250.0,1.0,5.0,250.0,0.75,0.843462246777,0.75,0.843462246777,7.0,0.354251815947,2,0,0,0,0,1.0,5.0,90.0,0,-1,0,1.0,1.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0.0,0.0,160.0,1.0,6.0,250.0,-0.25,-0.156537753223,0.75,0.843462246777,7.0,0.354251815947,-1,0,0,-1,0,tie
0.142857142857,0.122619047619,0.0,0,0.333333333333,0.227777777778,0.333333333333,1,-0.190476190476,-0.105158730159,-0.333333333333,-1,12,2,1.0,5.0,496.0,1.0,5.0,496.0,1.0,1.0,1.0,1.0,7.0,0.223569222928,1,0,0,0,0,1.0,5.0,209.0,1.0,5.0,209.0,1.0,1.0,0.666666666667,0.710865561694,5.0,0.20629499414,1,0,0,0,0,0.0,0.0,287.0,0.0,0.0,287.0,0.0,0.0,0.333333333333,0.289134438306,2.0,0.0172742287881,0,0,0,0,0,different
1.0,0.472222222222,0.4,1,0.5,0.325396825397,0.333333333333,1,0.5,0.146825396825,0.0666666666667,0,24,4,1.0,5.0,109.0,1.0,5.0,109.0,0.8,0.828973843058,0.6,0.657947686117,3.0,0.101819092997,2,0,0,0,0,1.0,5.0,90.0,0,-1,0,0.833333333333,0.837988826816,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,19.0,1.0,6.0,109.0,-0.0333333333333,-0.00901498375729,0.6,0.657947686117,3.0,0.101819092997,1,0,0,0,0,different
0.25,0.225,0.4,1,0.333333333333,0.291666666667,0.4,1,-0.0833333333333,-0.0666666666667,0.0,0,27,5,1.0,5.0,120.0,0.2,436.0,109.0,0.4,0.473140495868,0.2,0.22520661157,1.0,0.0348513011152,2,0,0,0,0,1.0,5.0,179.0,1.0,5.0,179.0,0.4,0.507547169811,0.2,0.337735849057,3.0,0.185094339623,2,0,0,0,0,0.0,0.0,-59.0,-0.8,431.0,-70.0,0.0,-0.0344066739436,0.0,-0.112529237486,-2.0,-0.150243038507,0,0,0,0,0,tie
0.2,0.183333333333,0.0,0,0.5,0.3,0.25,1,-0.3,-0.116666666667,-0.25,-1,18,3,1.0,5.0,210.0,1.0,5.0,210.0,1.0,1.0,1.0,1.0,7.0,0.247436613569,1,0,0,0,0,1.0,5.0,112.0,0.25,365.0,206.0,0.75,0.831721470019,0.25,0.398452611219,4.0,0.157889924389,1,0,0,0,0,0.0,0.0,98.0,0.75,-360.0,4.0,0.25,0.168278529981,0.75,0.601547388781,3.0,0.0895466891801,0,0,0,0,0,different
0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,29,5,1.0,5.0,109.0,1.0,5.0,109.0,0.6,0.657947686117,0.6,0.657947686117,3.0,0.101819092997,1,0,0,0,0,1.0,5.0,156.0,0,-1,0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,0,0.0,0.0,-47.0,1.0,6.0,109.0,-0.4,-0.342052313883,0.6,0.657947686117,3.0,0.101819092997,-1,0,0,-1,0,tie
0.2,0.155555555556,0.0,0,0.333333333333,0.238095238095,0.0,0,-0.133333333333,-0.0825396825397,0.0,0,21,5,1.0,5.0,120.0,1.0,5.0,120.0,1.0,1.0,1.0,1.0,6.0,0.2594433538,2,0,0,0,0,1.0,5.0,397.0,1.0,5.0,397.0,1.0,1.0,1.0,1.0,7.0,0.233052378085,1,0,0,0,0,0.0,0.0,-277.0,0.0,0.0,-277.0,0.0,0.0,0.0,0.0,-1.0,0.0263909757148,1,0,0,0,0,tie
0.5,0.5,0.2,1,0.333333333333,0.333333333333,0.333333333333,1,0.166666666667,0.166666666667,-0.133333333333,0,18,3,1.0,5.0,169.0,1.0,5.0,169.0,0.6,0.708904109589,0.4,0.494863013699,2.0,0.0889615267098,3,1,0,1,0,1.0,5.0,230.0,0.333333333333,393.0,118.0,1.0,1.0,0.333333333333,0.244813278008,1.0,0.0377367031309,2,0,0,1,0,0.0,0.0,-61.0,0.666666666667,-388.0,51.0,-0.4,-0.291095890411,0.0666666666667,0.25004973569,1.0,0.0512248235789,1,1,0,0,0,different
1.0,0.428888888889,0.8,1,1.0,0.347222222222,0.4,1,0.0,0.0816666666667,0.4,0,24,4,1.0,5.0,109.0,1.0,5.0,109.0,0.6,0.674952198853,0.6,0.674952198853,3.0,0.103637862773,2,0,0,0,0,1.0,5.0,90.0,0.25,309.0,173.0,0.6,0.669829222011,0.2,0.328273244782,1.0,0.0576643091254,2,0,0,0,0,0.0,0.0,19.0,0.75,-304.0,-64.0,0.0,0.00512297684139,0.4,0.346678954071,2.0,0.045973553648,0,0,0,0,0,tie
0.2,0.2,0.0,0,0.333333333333,0.333333333333,0.25,1,-0.133333333333,-0.133333333333,-0.25,-1,24,4,1.0,5.0,303.0,1.0,5.0,303.0,1.0,1.0,0.666666666667,0.826171875,8.0,0.202471538104,1,0,0,0,0,1.0,5.0,90.0,0.111111111111,1033.0,228.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0.0,0.0,213.0,0.888888888889,-1028.0,75.0,0.0,0.0,0.666666666667,0.826171875,8.0,0.202471538104,-1,0,0,0,-1,tie
