@relation output

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute baidu_rank_by_type_1 numeric
@attribute baidu_position_y_1 numeric
@attribute baidu_height_1 numeric
@attribute baidu_distance_by_type_1 numeric
@attribute baidu_title_char_length_1 numeric
@attribute baidu_title_word_length_1 numeric
@attribute baidu_title_matches_1 numeric
@attribute baidu_snippet_char_length_1 numeric
@attribute baidu_snippet_word_length_1 numeric
@attribute baidu_snippet_matches_1 numeric
@attribute baidu_vertical_type_1 {forum,encyclopedia,image_text,organic,video,reading,download,others,image,news,experience,gps_map}
@attribute baidu_images_number_1 numeric
@attribute baidu_images_area_fraction_1 numeric
@attribute baidu_is_vertical_1 numeric
@attribute baidu_is_identical_url_1 numeric
@attribute baidu_had_image_1 numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute sogou_rank_by_type_1 numeric
@attribute sogou_position_y_1 numeric
@attribute sogou_height_1 numeric
@attribute sogou_distance_by_type_1 numeric
@attribute sogou_title_char_length_1 numeric
@attribute sogou_title_word_length_1 numeric
@attribute sogou_title_matches_1 numeric
@attribute sogou_snippet_char_length_1 numeric
@attribute sogou_snippet_word_length_1 numeric
@attribute sogou_snippet_matches_1 numeric
@attribute sogou_vertical_type_1 {organic,image_text,download,others,video,reading,forum,experience,image,news,encyclopedia,gps_map}
@attribute sogou_images_number_1 numeric
@attribute sogou_images_area_fraction_1 numeric
@attribute sogou_is_vertical_1 numeric
@attribute sogou_is_identical_url_1 numeric
@attribute sogou_had_image_1 numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute delta_position_y_1 numeric
@attribute delta_height_1 numeric
@attribute delta_title_char_length_1 numeric
@attribute delta_title_word_length_1 numeric
@attribute delta_title_matches_1 numeric
@attribute delta_snippet_char_length_1 numeric
@attribute delta_snippet_word_length_1 numeric
@attribute delta_snippet_matches_1 numeric
@attribute delta_images_number_1 numeric
@attribute delta_images_area_fraction_1 numeric
@attribute delta_is_vertical_1 numeric
@attribute delta_is_identical_url_1 numeric
@attribute delta_had_image_1 numeric
@attribute preference {different,tie}

@data
15,3,4,10,1,9,0.14214,1,5,120,0,61,14,4,163,37,8,download,1,0.170555,1,0,1,5,9,0.939541,5,0.069366,1,5,254,0,48,10,2,0,0,0,experience,4,0.321374,1,1,1,-1,1,0.060459,4,0.072773,0,-134,13,4,2,163,37,8,-3,-0.15082,0,-1,0,different
27,4,4,5,0.629046,7,0.172048,1,5,85,0,35,7,3,224,38,6,organic,0,0,0,0,0,3,4,0.590267,2,0.06828,1,5,87,0,39,7,3,236,44,10,organic,0,0,0,0,0,1,1,0.038779,5,0.103768,0,-2,-4,0,0,-12,-6,-4,0,0,0,0,0,different
21,3,4,9,0.931562,11,0.175001,1,5,247,0,40,7,3,0,0,0,image,4,0.401923,1,0,1,4,9,0.936123,10,0.174436,1,5,325,0,28,5,3,390,64,31,image,9,0.675055,1,0,1,0,0,-0.004561,1,0.000565,0,-78,12,2,0,-390,-64,-31,-5,-0.273131,0,0,0,different
24,3,3,6,0.704605,4,0.071714,1,5,165,0,38,7,2,224,51,5,reading,0,0,1,0,0,4,7,0.751192,0,0,1,5,158,0,31,5,3,0,0,0,reading,0,0,1,0,0,-1,-1,-0.046587,4,0.071714,0,7,7,2,-1,224,51,5,0,0,0,0,0,different
12,2,3,4,0.468196,4,0.074109,1,5,85,0,41,10,1,208,48,1,organic,0,0,0,1,0,3,3,0.458142,1,0.016733,1,5,87,0,41,10,1,225,48,1,organic,0,0,0,1,0,0,1,0.010054,3,0.057376,0,-2,0,0,0,-17,0,0,0,0,0,0,0,different
19,3,3,8,0.854825,20,0.296082,1,5,216,0,40,7,3,0,0,0,news,2,0.16868,1,1,1,3,9,0.937768,14,0.366248,1,5,200,0,40,7,3,0,0,0,news,0,0,1,1,0,0,-1,-0.082943,6,-0.070166,0,16,0,0,0,0,0,0,2,0.16868,0,0,1,different
36,7,3,6,0.722818,0,0,1,5,356,0,0,0,0,0,0,0,forum,0,0,1,0,0,1,5,0.61674,0,0,1,5,230,0,71,16,7,0,0,0,forum,0,0,1,0,0,2,1,0.106078,0,0,0,126,-71,-16,-7,0,0,0,0,0,0,0,0,different
24,4,2,4,0.499058,2,0.031767,1,5,111,0,87,19,3,151,36,3,image_text,1,0.151964,1,0,1,3,9,0.928513,0,0,1,5,90,0,70,16,2,0,0,0,image_text,0,0,1,0,0,-1,-5,-0.429454,2,0.031767,0,21,17,3,1,151,36,3,1,0.151964,0,0,1,different
32,9,2,6,0.670103,5,0.086949,1,5,109,0,79,19,9,228,54,10,image_text,1,0.154753,1,0,1,2,8,0.82874,1,0.017903,1,5,87,0,87,19,11,236,49,12,organic,0,0,0,1,0,0,-2,-0.158637,4,0.069046,0,22,-8,0,-2,-8,5,-2,1,0.154753,1,-1,1,different
17,2,3,10,1,13,0.175173,1,5,228,0,36,6,2,0,0,0,image,4,0.305289,1,0,1,4,7,0.877292,5,0.096859,1,5,516,0,88,19,4,1313,226,9,others,4,0.230923,1,0,1,-1,3,0.122708,8,0.078314,0,-288,-52,-13,-2,-1313,-226,-9,0,0.074366,0,0,0,different
24,3,6,10,1,17,0.216379,1,5,138,0,43,7,3,0,0,0,image,2,0.365619,1,0,1,5,10,1,8,0.111756,1,5,90,0,40,6,3,0,0,0,image_text,0,0,1,0,0,1,0,0,9,0.104624,0,48,3,1,0,0,0,0,2,0.365619,0,0,1,different
29,5,2,9,0.928571,12,0.241558,1,5,238,0,48,9,5,0,0,0,image,4,0.640795,1,0,1,2,7,0.714129,0,0,1,5,90,0,48,9,2,0,0,0,image_text,0,0,1,0,0,0,2,0.214442,12,0.241558,0,148,0,0,3,0,0,0,4,0.640795,0,0,1,different
27,3,5,8,0.889267,11,0.181037,1,5,210,0,61,10,3,0,0,0,video,4,0.389839,1,0,1,4,7,0.823768,6,0.0349,1,5,488,0,45,9,2,1622,306,15,others,4,0.026826,1,0,1,1,1,0.0655,5,0.146137,0,-278,16,1,1,-1622,-306,-15,0,0.363013,0,0,0,different
21,3,4,10,1,12,0.158157,1,5,104,0,74,14,4,201,42,4,others,1,0.162193,1,0,1,5,10,1,6,0.098384,1,5,90,0,75,16,4,0,0,0,image_text,0,0,1,0,0,-1,0,0,6,0.059774,0,14,-1,-2,0,201,42,4,1,0.162193,0,0,1,different
15,2,4,6,0.723577,5,0.075241,1,5,169,0,22,4,2,494,98,4,encyclopedia,1,0.186314,1,0,1,6,9,0.940533,7,0.08624,1,5,206,0,34,6,2,0,0,0,video,4,0.396258,1,0,1,-2,-3,-0.216956,-2,-0.010999,0,-37,-12,-2,0,494,98,4,-3,-0.209944,0,0,0,different
24,4,6,8,0.874167,8,0.116613,1,5,85,0,73,23,6,223,51,9,organic,0,0,0,1,0,4,9,0.937184,1,0.013133,1,5,114,0,54,13,2,0,0,0,video,0,0,1,0,0,2,-1,-0.063017,7,0.10348,0,-29,19,10,4,223,51,9,0,0,-1,1,0,different
30,5,4,9,0.942799,7,0.081881,1,5,120,0,58,10,2,241,50,12,reading,1,0.170555,1,0,1,5,10,1,4,0.054251,1,5,90,0,37,7,5,0,0,0,experience,0,0,1,0,0,-1,-1,-0.057201,3,0.02763,0,30,21,3,-3,241,50,12,1,0.170555,0,0,1,different
24,5,3,3,0.351852,1,0.018375,1,5,85,0,68,14,4,183,34,8,organic,0,0,0,0,0,5,9,0.914877,0,0,1,5,230,0,59,14,5,0,0,0,forum,0,0,1,0,0,-2,-6,-0.563025,1,0.018375,0,-145,9,0,-1,183,34,8,0,0,-1,0,0,different
19,4,3,7,0.780739,10,0.161283,1,5,120,0,88,19,9,209,49,5,others,1,0.170555,1,0,1,5,10,1,1,0.017241,1,5,90,0,89,19,5,0,0,0,image_text,0,0,1,1,0,-2,-3,-0.219261,9,0.144042,0,30,-1,0,4,209,49,5,1,0.170555,0,-1,1,different
18,3,5,9,0.913918,10,0.156575,1,5,129,0,22,5,2,272,57,6,encyclopedia,1,0.158655,1,0,1,5,8,0.881066,4,0.081447,1,5,87,0,66,12,3,215,40,4,organic,0,0,0,0,0,0,1,0.032852,6,0.075128,0,42,-44,-7,-1,57,17,2,1,0.158655,1,0,1,different
39,7,2,3,0.331461,0,0,1,5,85,0,53,8,2,222,45,10,reading,0,0,1,0,0,4,9,0.922113,0,0,1,5,156,0,86,21,6,0,0,0,reading,0,0,1,0,0,-2,-6,-0.590652,0,0,0,-71,-33,-13,-4,222,45,10,0,0,0,0,0,different
27,3,3,9,0.925439,9,0.148952,1,5,120,0,92,14,6,169,33,4,download,1,0.170555,1,0,1,4,10,1,3,0.052059,1,5,118,0,93,14,6,0,0,0,download,0,0,1,1,0,-1,-1,-0.074561,6,0.096892,0,2,-1,0,0,169,33,4,1,0.170555,0,-1,1,different
24,4,1,5,0.561856,5,0.086949,1,5,109,0,81,15,6,226,47,13,image_text,1,0.154753,1,1,1,1,6,0.702899,6,0.083636,1,5,130,0,44,8,4,0,0,0,others,1,0.118378,1,1,1,0,-1,-0.141043,-1,0.003312,0,-21,37,7,2,226,47,13,0,0.036375,0,0,0,tie
21,4,2,9,0.932163,12,0.193136,1,5,210,0,55,11,6,0,0,0,video,4,0.389839,1,0,1,3,10,1,21,0.081597,1,5,1559,0,34,8,5,1868,373,97,others,12,0.025191,1,0,1,-1,-1,-0.067837,-9,0.111539,0,-1349,21,3,1,-1868,-373,-97,-8,0.364648,0,0,0,different
27,5,5,10,1,20,0.234073,1,5,243,0,40,8,4,0,0,0,experience,4,0.3406,1,1,1,5,10,1,7,0.089938,1,5,254,0,37,8,4,0,0,0,experience,4,0.321374,1,0,1,0,0,0,13,0.144135,0,-11,3,0,0,0,0,0,0,0.019226,0,1,0,different
9,1,2,3,0.368365,2,0.035813,1,5,129,0,16,3,1,0,0,0,encyclopedia,0,0,1,0,0,4,6,0.682192,1,0.016611,1,5,135,0,16,3,1,0,0,0,others,0,0,1,0,0,-2,-3,-0.313827,1,0.019202,0,-6,0,0,0,0,0,0,0,0,0,0,0,different
13,3,4,7,0.785173,8,0.147669,1,5,244,0,32,7,3,0,0,0,image,4,0.441846,1,0,1,2,5,0.663052,1,0.014089,1,5,246,0,48,12,3,0,0,0,forum,0,0,1,0,0,2,2,0.122121,7,0.133579,0,-2,-16,-5,0,0,0,0,4,0.441846,0,0,1,different
12,2,4,8,0.930894,4,0.154892,1,5,125,0,30,4,0,0,0,0,others,0,0,1,0,0,4,5,0.666103,3,0.091951,1,5,47,0,31,5,0,0,0,0,organic,0,0,0,0,0,0,3,0.264791,1,0.062941,0,78,-1,-1,0,0,0,0,0,0,1,0,0,different
12,2,3,10,1,12,0.191034,1,5,120,0,62,11,2,90,23,2,video,1,0.170555,1,1,1,3,9,0.947451,6,0.094294,1,5,206,0,31,6,2,0,0,0,video,4,0.396258,1,0,1,0,1,0.052549,6,0.09674,0,-86,31,5,0,90,23,2,-3,-0.225703,0,1,0,tie
18,2,5,10,1,15,0.224835,1,5,134,0,37,6,2,0,0,0,image,2,0.38437,1,0,1,4,9,0.915779,0,0,1,5,90,0,61,9,2,0,0,0,image_text,0,0,1,0,0,1,1,0.084221,15,0.224835,0,44,-24,-3,0,0,0,0,2,0.38437,0,0,1,different
15,2,3,7,0.770477,5,0.085226,1,5,150,0,22,4,2,346,74,4,encyclopedia,1,0.181425,1,0,1,4,10,1,1,0.015008,1,5,166,0,88,18,4,0,0,0,reading,0,0,1,1,0,-1,-3,-0.229523,4,0.070218,0,-16,-66,-14,-2,346,74,4,1,0.181425,0,-1,1,different
21,4,2,5,0.581693,1,0.016602,1,5,105,0,84,18,5,212,43,1,forum,0,0,1,1,0,1,4,0.51756,0,0,1,5,222,0,56,13,4,0,0,0,forum,0,0,1,0,0,1,1,0.064133,1,0.016602,0,-117,28,5,1,212,43,1,0,0,0,1,0,different
24,4,2,6,0.694245,0,0,1,5,227,0,0,0,0,0,0,0,others,0,0,1,0,0,2,4,0.52973,0,0,1,5,230,0,59,13,4,0,0,0,forum,0,0,1,0,0,0,2,0.164515,0,0,0,-3,-59,-13,-4,0,0,0,0,0,0,0,0,different
