query	baidu_reciprocal_of_the_rank_of_the_first_identical_url	baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls	baidu_fraction_of_identical_urls_first_screen	baidu_had_identical_url_first_screen	baidu_fraction_of_identical_urls_other_screens	baidu_had_identical_url_other_screens	sogou_reciprocal_of_the_rank_of_the_first_identical_url	sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls	sogou_fraction_of_identical_urls_first_screen	sogou_had_identical_url_first_screen	sogou_fraction_of_identical_urls_other_screens	sogou_had_identical_url_other_screens	delta_reciprocal_of_the_rank_of_the_first_identical_url	delta_average_of_reciprocal_of_the_rank_of_the_identical_urls	delta_fraction_of_identical_urls_first_screen	delta_had_identical_url_first_screen	delta_fraction_of_identical_urls_other_screens	delta_had_identical_url_other_screens	
倾世皇妃	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
全国劳动模范先进事迹	1.0	0.625	0.333333333333	1	0.142857142857	1	0.125	0.1125	0.0	0	0.333333333333	1	0.875	0.5125	0.333333333333	1	-0.190476190476	0	
qq空间电影	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
我的纪录片	1.0	0.5	0.5	1	0.166666666667	1	1.0	0.453703703704	0.5	1	0.166666666667	1	0.0	0.0462962962963	0.0	0	0.0	0	
ysl口红57号	1.0	0.5	0.5	1	0.166666666667	1	0.5	0.316666666667	0.5	1	0.25	1	0.5	0.183333333333	0.0	0	-0.0833333333333	0	
坐庄+迅雷高清	1.0	0.6	0.4	1	0.0	0	1.0	0.555555555556	0.2	1	0.2	1	0.0	0.0444444444444	0.2	0	-0.2	-1	
怎样看股票走势图	1.0	1.0	0.25	1	0.0	0	0.5	0.5	0.25	1	0.0	0	0.5	0.5	0.0	0	0.0	0	
吸鱼机	0.2	0.2	0.0	0	0.166666666667	1	0.333333333333	0.333333333333	0.2	1	0.0	0	-0.133333333333	-0.133333333333	-0.2	-1	0.166666666667	1	
粉宝乐园	0.166666666667	0.166666666667	0.0	0	0.125	1	0.125	0.125	0.0	0	0.166666666667	1	0.0416666666667	0.0416666666667	0.0	0	-0.0416666666667	0	
冯辉轮滑视频	0.2	0.183333333333	0.0	0	0.333333333333	1	0.5	0.3	0.25	1	0.166666666667	1	-0.3	-0.116666666667	-0.25	-1	0.166666666667	0	
死亡循环2txt下载	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
黄遂柱	0.5	0.288888888889	0.4	1	0.2	1	0.5	0.361111111111	0.5	1	0.0	0	0.0	-0.0722222222222	-0.1	0	0.2	1	
折纸玫瑰视频	0.5	0.5	0.25	1	0.0	0	0.333333333333	0.333333333333	0.333333333333	1	0.0	0	0.166666666667	0.166666666667	-0.0833333333333	0	0.0	0	
莽荒纪txt免费下载	1.0	0.428888888889	0.8	1	0.2	1	1.0	0.347222222222	0.4	1	0.6	1	0.0	0.0816666666667	0.4	0	-0.4	0	
退伍日记下载	1.0	0.611111111111	0.6	1	0.0	0	1.0	0.566666666667	0.5	1	0.0	0	0.0	0.0444444444444	0.1	0	0.0	0	
名师工作室代表发言稿	1.0	0.75	0.4	1	0.0	0	0.333333333333	0.291666666667	0.4	1	0.0	0	0.666666666667	0.458333333333	0.0	0	0.0	0	
玫瑰酱的做法	0.5	0.5	0.5	1	0.0	0	1.0	1.0	0.25	1	0.0	0	-0.5	-0.5	0.25	0	0.0	0	
蛮荒囚徒	1.0	0.625	0.4	1	0.0	0	0.5	0.35	0.333333333333	1	0.0	0	0.5	0.275	0.0666666666667	0	0.0	0	
单机破解游戏下载大全中文版下载	0.5	0.265277777778	0.6	1	0.2	1	1.0	0.352777777778	0.333333333333	1	0.5	1	-0.5	-0.0875	0.266666666667	0	-0.3	0	
360分区助手	0.5	0.305555555556	0.5	1	0.166666666667	1	1.0	0.566666666667	0.5	1	0.0	0	-0.5	-0.261111111111	0.0	0	0.166666666667	1	
生死狙击等待udp连接	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
英雄联盟阿卡利神秘商店2015	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
小学形声字儿歌	1.0	1.0	0.166666666667	1	0.0	0	0.5	0.5	0.2	1	0.0	0	0.5	0.5	-0.0333333333333	0	0.0	0	
牌九游戏大厅	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
生化危机5免费高清	0.142857142857	0.142857142857	0.0	0	0.2	1	0.333333333333	0.333333333333	0.25	1	0.0	0	-0.190476190476	-0.190476190476	-0.25	-1	0.2	1	
帮助小白兔过河200字	0.25	0.208333333333	0.333333333333	1	0.0	0	1.0	0.571428571429	0.166666666667	1	0.25	1	-0.75	-0.363095238095	0.166666666667	0	-0.25	-1	
雨霖铃	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
践行社会主义核心价值观心得体会	0.5	0.266666666667	0.4	1	0.2	1	1.0	0.453703703704	0.333333333333	1	0.25	1	-0.5	-0.187037037037	0.0666666666667	0	-0.05	0	
cf老玩家回归礼包	0.333333333333	0.333333333333	0.2	1	0.0	0	0.125	0.125	0.0	0	0.25	1	0.208333333333	0.208333333333	0.2	1	-0.25	-1	
端午日阅读答案	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
数学诗歌	0.5	0.416666666667	0.5	1	0.0	0	0.333333333333	0.222222222222	0.25	1	0.166666666667	1	0.166666666667	0.194444444444	0.25	0	-0.166666666667	-1	
营销词	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
取名字打分	1.0	0.583333333333	0.6	1	0.0	0	0.5	0.319444444444	0.4	1	0.2	1	0.5	0.263888888889	0.2	0	-0.2	-1	
东风小康K17	0.25	0.25	0.0	0	0.142857142857	1	0.1	0.1	0.0	0	0.125	1	0.15	0.15	0.0	0	0.0178571428571	0	
高尔基的童年	0.5	0.5	0.2	1	0.0	0	0.333333333333	0.333333333333	0.333333333333	1	0.0	0	0.166666666667	0.166666666667	-0.133333333333	0	0.0	0	
高贵的母亲	0.333333333333	0.333333333333	0.2	1	0.0	0	0.5	0.5	0.2	1	0.0	0	-0.166666666667	-0.166666666667	0.0	0	0.0	0	
深圳地铁线路图	0.2	0.171428571429	0.0	0	0.333333333333	1	0.166666666667	0.154761904762	0.0	0	0.285714285714	1	0.0333333333333	0.0166666666667	0.0	0	0.047619047619	0	
mp3转换器	0.5	0.333333333333	0.25	1	0.166666666667	1	0.5	0.305555555556	0.25	1	0.166666666667	1	0.0	0.0277777777778	0.0	0	0.0	0	
路路通编织方法	0.2	0.15	0.0	0	0.285714285714	1	1.0	0.5625	0.2	1	0.2	1	-0.8	-0.4125	-0.2	-1	0.0857142857143	0	
七原罪漫画120	1.0	0.445833333333	0.8	1	0.0	0	1.0	0.441964285714	0.333333333333	1	0.5	1	0.0	0.00386904761905	0.466666666667	0	-0.5	-1	
索纳塔	0.333333333333	0.291666666667	0.333333333333	1	0.142857142857	1	0.166666666667	0.133333333333	0.0	0	0.285714285714	1	0.166666666667	0.158333333333	0.333333333333	1	-0.142857142857	0	
迦南诗选打包下载	0.25	0.25	0.2	1	0.0	0	0.111111111111	0.111111111111	0.0	0	0.25	1	0.138888888889	0.138888888889	0.2	1	-0.25	-1	
忧伤的图片	0.25	0.25	0.25	1	0.0	0	0.5	0.5	0.25	1	0.0	0	-0.25	-0.25	0.0	0	0.0	0	
西门剑姬	1.0	0.571428571429	0.333333333333	1	0.142857142857	1	1.0	0.555555555556	0.25	1	0.166666666667	1	0.0	0.015873015873	0.0833333333333	0	-0.0238095238095	0	
魔兽显血改键工具	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
众泰t600运动版	1.0	1.0	0.25	1	0.0	0	1.0	1.0	0.5	1	0.0	0	0.0	0.0	-0.25	0	0.0	0	
难忘的泼水节ppt	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
好听的微信公众号名字	0.333333333333	0.25	0.25	1	0.166666666667	1	0.333333333333	0.229166666667	0.25	1	0.166666666667	1	0.0	0.0208333333333	0.0	0	0.0	0	
张籽沐qq号	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
一般将来时	0.5	0.35	0.4	1	0.0	0	0.5	0.3	0.25	1	0.166666666667	1	0.0	0.05	0.15	0	-0.166666666667	-1	
租店面	1.0	1.0	0.25	1	0.0	0	0.5	0.5	0.2	1	0.0	0	0.5	0.5	0.05	0	0.0	0	
钟馗伏魔+雪妖魔灵mp4	0.2	0.2	0.0	0	0.166666666667	1	0.2	0.2	0.0	0	0.166666666667	1	0.0	0.0	0.0	0	0.0	0	
敢达OL尊贵礼包	0.5	0.375	0.4	1	0.0	0	1.0	0.55	0.166666666667	1	0.25	1	-0.5	-0.175	0.233333333333	0	-0.25	-1	
深圳驾驶证考生自主预约	0.333333333333	0.208333333333	0.333333333333	1	0.25	1	1.0	0.441666666667	0.4	1	0.2	1	-0.666666666667	-0.233333333333	-0.0666666666667	0	0.05	0	
传奇墨舞碧歌最新章节	1.0	0.555555555556	0.2	1	0.2	1	0.5	0.3125	0.333333333333	1	0.142857142857	1	0.5	0.243055555556	-0.133333333333	0	0.0571428571429	0	
桃花圣手	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
结对帮扶+义诊	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
罗汉说鸽	0.5	0.5	0.25	1	0.0	0	1.0	1.0	0.2	1	0.0	0	-0.5	-0.5	0.05	0	0.0	0	
gta4秘籍	0.5	0.288888888889	0.333333333333	1	0.285714285714	1	0.333333333333	0.242063492063	0.333333333333	1	0.285714285714	1	0.166666666667	0.0468253968254	0.0	0	0.0	0	
王宗岳太极拳论解释	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
星座屋	0.333333333333	0.238095238095	0.2	1	0.2	1	1.0	0.75	0.5	1	0.0	0	-0.666666666667	-0.511904761905	-0.3	0	0.2	1	
钓鱼杆绑线技巧	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
小龙的随身空间	0.5	0.305555555556	0.333333333333	1	0.142857142857	1	0.5	0.375	0.333333333333	1	0.142857142857	1	0.0	-0.0694444444444	0.0	0	0.0	0	
拼音输入法下载	0.333333333333	0.333333333333	0.333333333333	1	0.0	0	0.5	0.5	0.5	1	0.0	0	-0.166666666667	-0.166666666667	-0.166666666667	0	0.0	0	
福建教师招聘考试报名入口	0.5	0.5	0.166666666667	1	0.0	0	0.125	0.125	0.0	0	0.25	1	0.375	0.375	0.166666666667	1	-0.25	-1	
单田芳评书薛礼征东	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
2015变形计歌曲大全	0.25	0.1875	0.2	1	0.2	1	1.0	0.55	0.166666666667	1	0.25	1	-0.75	-0.3625	0.0333333333333	0	-0.05	0	
ea888发动机优缺点	0.142857142857	0.142857142857	0.0	0	0.166666666667	1	0.125	0.125	0.0	0	0.166666666667	1	0.0178571428571	0.0178571428571	0.0	0	0.0	0	
碟中谍3高清在线观看	0.333333333333	0.229166666667	0.25	1	0.166666666667	1	0.333333333333	0.222222222222	0.333333333333	1	0.166666666667	1	0.0	0.00694444444444	-0.0833333333333	0	0.0	0	
塔尔寺	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
客厅灯	0.333333333333	0.25	0.5	1	0.166666666667	1	0.333333333333	0.227777777778	0.0	0	0.375	1	0.0	0.0222222222222	0.5	1	-0.208333333333	0	
中建三局招聘	1.0	0.486111111111	0.333333333333	1	0.25	1	0.5	0.280952380952	0.25	1	0.333333333333	1	0.5	0.205158730159	0.0833333333333	0	-0.0833333333333	0	
精神文明建设	0.5	0.35	0.25	1	0.166666666667	1	0.5	0.375	0.4	1	0.0	0	0.0	-0.025	-0.15	0	0.166666666667	1	
四川腊肉	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
克罗地亚战警	0.142857142857	0.142857142857	0.0	0	0.142857142857	1	0.333333333333	0.333333333333	0.25	1	0.0	0	-0.190476190476	-0.190476190476	-0.25	-1	0.142857142857	1	
天使妹妹	1.0	1.0	0.2	1	0.0	0	0.5	0.5	0.25	1	0.0	0	0.5	0.5	-0.05	0	0.0	0	
豆角烧茄子	0.111111111111	0.111111111111	0.0	0	0.142857142857	1	1.0	1.0	0.25	1	0.0	0	-0.888888888889	-0.888888888889	-0.25	-1	0.142857142857	1	
app制作软件	0.5	0.314814814815	0.666666666667	1	0.142857142857	1	1.0	0.486111111111	0.666666666667	1	0.142857142857	1	-0.5	-0.171296296296	0.0	0	0.0	0	
论文封面	0.2	0.183333333333	0.0	0	0.285714285714	1	0.25	0.180555555556	0.0	0	0.285714285714	1	-0.05	0.00277777777778	0.0	0	0.0	0	
铠甲战士	0.5	0.5	0.333333333333	1	0.0	0	0.125	0.125	0.0	0	0.142857142857	1	0.375	0.375	0.333333333333	1	-0.142857142857	-1	
斜面自锁力的计算	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
球粒陨石	0.25	0.25	0.25	1	0.0	0	0.25	0.25	0.25	1	0.0	0	0.0	0.0	0.0	0	0.0	0	
易物天下骗局	0.333333333333	0.333333333333	0.25	1	0.0	0	0.333333333333	0.333333333333	0.2	1	0.0	0	0.0	0.0	0.05	0	0.0	0	
秒赞秒评	1.0	0.625	0.4	1	0.0	0	0.5	0.375	0.4	1	0.0	0	0.5	0.25	0.0	0	0.0	0	
生死狙击给我一个强号	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
连环画	0.2	0.159259259259	0.0	0	0.5	1	1.0	0.492063492063	0.4	1	0.2	1	-0.8	-0.332804232804	-0.4	-1	0.3	0	
分公司如何纳税	1.0	0.547619047619	0.4	1	0.2	1	0.5	0.266666666667	0.25	1	0.333333333333	1	0.5	0.280952380952	0.15	0	-0.133333333333	0	
搜狗手写输入法	0.5	0.5	0.25	1	0.0	0	0.25	0.25	0.2	1	0.0	0	0.25	0.25	0.05	0	0.0	0	
回到三国当保镖	1.0	1.0	0.25	1	0.0	0	0.25	0.25	0.0	0	0.142857142857	1	0.75	0.75	0.25	1	-0.142857142857	-1	
南国的孩子+张悬+吉他谱	0.2	0.2	0.0	0	0.166666666667	1	1.0	1.0	0.333333333333	1	0.0	0	-0.8	-0.8	-0.333333333333	-1	0.166666666667	1	
