query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
秒赞秒评	4	8	0.850352112676	6	0.0985948217184	4	8	0.85	2	0.0332727272727	0	0	0.000352112676056	4	0.0653220944457	
生死狙击给我一个强号	3	4	0.485990338164	3	0.0523696639908	2	6	0.639751552795	0	0.0	1	-2	-0.153761214631	3	0.0523696639908	
连环画	5	7	0.790812141099	7	0.111251223655	5	6	0.766548042705	4	0.091231316726	0	1	0.0242640983946	3	0.0200199069292	
分公司如何纳税	3	5	0.555028462998	0	0.0	4	8	0.86594761171	1	0.0140131671102	-1	-3	-0.310919148712	-1	-0.0140131671102	
搜狗手写输入法	4	10	1.0	12	0.158157485637	5	10	1.0	6	0.0983836658645	-1	0	0.0	6	0.0597738197726	
回到三国当保镖	2	4	0.528214616096	3	0.0636647190919	2	7	0.825534759358	4	0.0420503159942	0	-3	-0.297320143262	-1	0.0216144030977	
南国的孩子+张悬+吉他谱	2	3	0.427419354839	12	0.217485443232	4	9	0.93453724605	1	0.0136862986524	-2	-6	-0.507117891211	11	0.203799144579	
岳西在线家园	2	3	0.391634980989	7	0.117444909325	4	5	0.660944206009	2	0.0288224736637	-2	-2	-0.26930922502	5	0.0886224356611	
混沌战域神兵4升5	3	4	0.491017964072	3	0.0505030830532	2	4	0.4375	0	0.0	1	0	0.0535179640719	3	0.0505030830532	
批发零售用地	3	5	0.564862104188	1	0.0172298567311	4	6	0.688172043011	1	0.0162984685565	-1	-1	-0.123309938823	0	0.000931388174598	
谷歌访问助手下载	3	7	0.779602420052	9	0.144430378527	3	4	0.500956022945	4	0.0780392838519	0	3	0.278646397107	5	0.0663910946748	
杭州地铁5号线站点	3	7	0.766910420475	7	0.117387507391	4	8	0.86012715713	1	0.0165205185369	-1	-1	-0.0932167366546	6	0.100866988854	
2015汉字听写大会词库	3	3	0.364572605561	1	0.0173718122964	4	8	0.847368421053	0	0.0	-1	-5	-0.482795815491	1	0.0173718122964	
闪电侠第二季	4	9	0.933228593873	7	0.0992007288932	5	8	0.883534136546	5	0.0853717901911	-1	1	0.0496944573266	2	0.0138289387021	
容积和容积单位课件	1	2	0.241071428571	0	0.0	3	7	0.760330578512	0	0.0	-2	-5	-0.519259149941	0	0.0	
消石素	3	3	0.417924528302	3	0.0602160342288	4	8	0.873546511628	4	0.0865961945032	-1	-5	-0.455621983326	-1	-0.0263801602744	
四下语文园地三作文	3	8	0.855319148936	0	0.0	4	7	0.800153139357	0	0.0	-1	1	0.0551660095794	0	0.0	
斯拉格精灵中文版全集	2	7	0.79809976247	7	0.111652200019	3	8	0.866666666667	4	0.0606339254615	-1	-1	-0.0685669041964	3	0.0510182745579	
都市逍遥天尊txt全集下载	2	4	0.507204610951	1	0.0162036789047	3	5	0.616740088106	0	0.0	-1	-1	-0.109535477155	1	0.0162036789047	
HP862墨盒	4	9	0.937407952872	5	0.064467207954	3	8	0.931388012618	4	0.0939718956123	1	1	0.00601994025357	1	-0.0295046876583	
漂洋过海来看你吉他谱	4	6	0.668615984405	10	0.140057392552	4	5	0.611953612846	1	0.0162257724434	0	1	0.0566623715598	9	0.123831620109	
当你老了吉他谱	3	4	0.457696228338	7	0.0859452269704	4	6	0.723370429253	9	0.0987483740425	-1	-2	-0.265674200914	-2	-0.0128031470721	
日语输入法下载	5	10	1.0	10	0.138556949913	4	9	0.933231005372	6	0.0348398799972	1	1	0.0667689946278	4	0.103717069916	
翡翠观音寓意	3	6	0.69884853853	10	0.123776345814	4	9	0.928336079077	1	0.0149827766961	-1	-3	-0.229487540548	9	0.108793569118	
搞笑签名	3	5	0.597918637654	3	0.0512796615236	3	4	0.640495867769	1	0.0125269221137	0	1	-0.0425772301149	2	0.0387527394099	
大同黑社会段卫宁	1	2	0.242491657397	2	0.0375262063176	2	8	0.831067961165	0	0.0	-1	-6	-0.588576303768	2	0.0375262063176	
