query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
驯龙骑士国语版	4	9	0.929693961952	9	0.144543249052	3	7	0.855241264559	0	0.0	1	2	0.074452697393	9	0.144543249052	
公司组织结构	5	6	0.73207249803	4	0.0570070980575	7	9	0.951624548736	4	0.0589379717755	-2	-3	-0.219552050707	0	-0.00193087371804	
毛泽东的故事	5	6	0.712837837838	3	0.062115379785	6	7	0.865637065637	0	0.0	-1	-1	-0.152799227799	3	0.062115379785	
凤凰军机处	4	7	0.800432276657	11	0.165763635195	4	8	0.852040816327	5	0.084879406308	0	-1	-0.0516085396695	6	0.0808842288869	
高中生物必修一	3	4	0.498035363458	1	0.0176744253986	6	7	0.816713483146	5	0.0700970377937	-3	-3	-0.318678119688	-4	-0.0524226123951	
一万年以后bd西瓜	1	3	0.354279523294	3	0.0548256654597	2	4	0.447136563877	0	0.0	-1	-1	-0.092857040583	3	0.0548256654597	
权力的游戏第五季迅雷下载	2	7	0.737689393939	6	0.0958410780669	2	7	0.732855680655	1	0.0208876895878	0	0	0.00483371328433	5	0.0749533884791	
广告词大全幽默	1	2	0.236956521739	2	0.0366696298691	3	4	0.528880866426	1	0.0164161470299	-2	-2	-0.291924344687	1	0.0202534828392	
我的二哥二艘电视剧	5	8	0.885367498314	7	0.103048928751	3	8	1.0	2	0.137831961485	2	0	-0.114632501686	5	-0.0347830327333	
我是传奇下载	3	5	0.567541302235	3	0.0491779292705	4	7	0.77519379845	0	0.0	-1	-2	-0.207652496214	3	0.0491779292705	
公司理念大全	2	2	0.301130524152	0	0.0	3	5	0.616063548102	1	0.016053919602	-1	-3	-0.31493302395	-1	-0.016053919602	
红高粱歌曲简谱	3	3	0.445996275605	11	0.214595750867	3	9	0.907545164718	0	0.0	0	-6	-0.461548889113	11	0.214595750867	
端午节作文	1	4	0.598490566038	1	0.0154464473592	3	3	0.525382755842	1	0.0146568016995	-2	1	0.0731078101957	0	0.000789645659683	
将相和读后感500字	1	4	0.49504950495	0	0.0	1	3	0.432015429122	0	0.0	0	1	0.063034075828	0	0.0	
都市征伐	5	10	1.0	10	0.149105053008	5	9	0.944373401535	6	0.0832527319228	0	1	0.0556265984655	4	0.0658523210856	
printwriter用法	2	3	0.400200601805	2	0.0338375721961	2	6	0.740039840637	0	0.0	0	-3	-0.339839238832	2	0.0338375721961	
辽宁装备制造职业技术学院	4	6	0.745889387145	4	0.105518695717	5	7	0.75677378702	2	0.0469586417681	-1	-1	-0.0108843998745	2	0.0585600539493	
牛奶鸡蛋羹	3	10	1.0	12	0.1432276595	5	10	1.0	2	0.0242266824085	-2	0	0.0	10	0.119000977092	
天弘中证500指数基金	3	5	0.641047297297	2	0.0284932934794	2	2	0.27950310559	0	0.0	1	3	0.361544191707	2	0.0284932934794	
无上圣尊	4	7	0.790812141099	3	0.0564573924022	3	8	0.872807017544	1	0.0132961190856	1	-1	-0.0819948764446	2	0.0431612733166	
qq头像q友乐园	3	7	0.793103448276	10	0.150067299064	3	4	0.494186046512	1	0.0149119097956	0	3	0.298917401764	9	0.135155389269	
九年庆典新手包	2	6	0.655172413793	6	0.102645211398	3	5	0.592314901593	1	0.0170469455568	-1	1	0.0628575121999	5	0.0855982658415	
十一维空间	5	10	1.0	3	0.052296019254	4	8	0.868281604845	1	0.0137691831257	1	2	0.131718395155	2	0.0385268361283	
贷款利息计算公式	2	2	0.356669820246	1	0.0159584008891	5	9	0.934831460674	1	0.0136247871978	-3	-7	-0.578161640428	0	0.00233361369128	
快手刷双击软件	3	9	0.922867513612	8	0.125719374709	3	9	0.920402561757	0	0.0	0	0	0.00246495185498	8	0.125719374709	
春天的作文	4	5	0.632034632035	2	0.0323243051868	5	5	0.667685255921	1	0.0138954094034	-1	0	-0.0356506238859	1	0.0184288957833	
最新的新闻	5	9	0.932486100079	5	0.0762790436737	3	6	0.744868035191	3	0.035899760064	2	3	0.187618064889	2	0.0403792836097	
2015年深圳房价走势	3	9	0.930555555556	1	0.0148835556527	4	6	0.707070707071	2	0.0306213651668	-1	3	0.223484848485	-1	-0.0157378095141	
lol视频站	5	8	0.861736334405	10	0.144903716277	3	7	0.757660167131	1	0.0168886637967	2	1	0.104076167274	9	0.12801505248	
cs+online2下载	2	6	0.670861568248	6	0.101458559003	3	10	1.0	2	0.0385042881647	-1	-4	-0.329138431752	4	0.0629542708381	
地板砖价格	4	7	0.762790697674	6	0.10377107288	5	8	0.903707802988	8	0.13085676913	-1	-1	-0.140917105314	-2	-0.0270856962504	
萌娘守护者	4	4	0.485915492958	1	0.0169698488328	3	6	0.775628626692	4	0.0606189555126	1	-2	-0.289713133735	-3	-0.0436491066798	
群发器2015免费版	3	6	0.68253968254	5	0.0821089278338	3	8	0.833969465649	3	0.0515128383067	0	-2	-0.151429783109	2	0.0305960895271	
幼儿园大班数学教案	1	1	0.162102957284	0	0.0	3	3	0.470894874023	1	0.0158028591738	-2	-2	-0.308791916739	-1	-0.0158028591738	
户外游戏活动方案	3	5	0.647009966777	2	0.0280199829564	4	6	0.710482529118	1	0.0151323551656	-1	-1	-0.0634725623407	1	0.0128876277908	
和天下香烟价格表图	3	8	0.857740585774	7	0.118523588061	3	8	0.862232779097	9	0.194958612251	0	0	-0.00449219332333	-2	-0.0764350241902	
李小龙比赛最清晰的录像	2	9	0.913570274637	11	0.180397991724	1	8	0.836170212766	0	0.0	1	1	0.0774000618706	11	0.180397991724	
乐峰的东西是正品吗	2	8	0.885714285714	0	0.0	2	8	0.834600760456	0	0.0	0	0	0.051113525258	0	0.0	
终结者3免费在线看	3	6	0.724473257699	10	0.141050050309	2	8	0.931007137193	0	0.0	1	-2	-0.206533879494	10	0.141050050309	
苹果id	5	6	0.725521669342	8	0.118317649937	4	6	0.78904109589	9	0.122759651308	1	0	-0.0635194265485	-1	-0.00444200137055	
印油如何清洗	2	6	0.687392055268	1	0.0145665196371	2	8	0.848167539267	1	0.015871807076	0	-2	-0.160775483999	0	-0.00130528743888	
包头日报	5	5	0.586575875486	4	0.068335671821	4	6	0.672007540057	1	0.00769257133065	1	-1	-0.0854316645702	3	0.0606431004903	
变形计11季	5	8	0.859620148637	8	0.138361488094	4	9	0.933076923077	7	0.114151048951	1	-1	-0.0734567744394	1	0.0242104391429	
综合实践室活动记录表	2	2	0.289446185998	1	0.0176259453916	2	8	0.841240875912	0	0.0	0	-6	-0.551794689914	1	0.0176259453916	
描写春天的古诗	3	5	0.707501720578	2	0.0256948193329	5	8	0.856198347107	1	0.0150323065364	-2	-3	-0.148696626529	1	0.0106625127965	
讯飞输入法电脑版	7	10	1.0	11	0.141966392789	3	9	0.920692798541	1	0.0165807574376	4	1	0.0793072014585	10	0.125385635352	
会计实习小结	2	2	0.287211740042	1	0.0176813728928	2	3	0.411594202899	0	0.0	0	-1	-0.124382462857	1	0.0176813728928	
房祖名	6	10	1.0	16	0.184939187005	4	9	0.953525641026	17	0.181482128982	2	1	0.0464743589744	-1	0.00345705802288	
yy语音	4	10	1.0	8	0.0961310843893	4	9	0.944230769231	10	0.136006993007	0	1	0.0557692307692	-2	-0.0398759086177	
司法改革	3	5	0.64038616251	5	0.13373927451	4	6	0.765023632681	6	0.0729101958136	-1	-1	-0.124637470171	-1	0.0608290786961	
电缆载流量计算公式	2	8	0.857621440536	1	0.0141273280903	5	7	0.791533546326	3	0.037904443799	-3	1	0.0660878942101	-2	-0.0237771157087	
幼儿园读书日活动方案	1	5	0.543010752688	0	0.0	4	4	0.536412078153	5	0.118049410625	-3	1	0.00659867453542	-5	-0.118049410625	
港股通股票名单	2	2	0.221967963387	1	0.0192998051943	3	6	0.668571428571	5	0.0730701298701	-1	-4	-0.446603465185	-4	-0.0537703246759	
迅雷高清电影下载	1	5	0.561855670103	5	0.0869486069061	1	6	0.702898550725	6	0.0836363636364	0	-1	-0.141042880622	-1	0.0033122432697	
真善美伴我行读后感	3	4	0.542709232097	1	0.014553951458	3	4	0.527173913043	0	0.0	0	0	0.0155353190532	1	0.014553951458	
关于嘉莉妹妹的1500字双语论文	1	1	0.140449438202	0	0.0	4	6	0.680147058824	0	0.0	-3	-5	-0.539697620621	0	0.0	
班组建设方案	2	3	0.39898989899	0	0.0	3	4	0.572131147541	1	0.0149090909091	-1	-1	-0.173141248551	-1	-0.0149090909091	
胃热的症状及治疗	3	9	0.93924231594	1	0.0146294086854	5	9	0.934586466165	2	0.0646616541353	-2	0	0.00465584977454	-1	-0.0500322454499	
领取头像lol	3	8	0.867029548989	11	0.157225077616	5	9	0.944015444015	9	0.115334035334	-2	-1	-0.0769858950263	2	0.0418910422819	
离开地球表面	4	6	0.730372720063	8	0.129486540746	5	10	1.0	7	0.0894041495694	-1	-4	-0.269627279937	1	0.0400823911768	
玉林有吨桶卖吗	2	6	0.663366336634	5	0.0835050977217	2	7	0.730123180291	0	0.0	0	-1	-0.0667568436575	5	0.0835050977217	
20以内加减法口算题	4	4	0.488465396189	1	0.0169187860981	3	4	0.55612244898	1	0.0154669140383	1	0	-0.067657052791	0	0.00145187205973	
宜居木门	4	5	0.577105014191	6	0.125215856056	5	6	0.71334431631	4	0.0981518646099	-1	-1	-0.136239302119	2	0.0270639914462	
cf视频	4	9	0.927101200686	10	0.164147436347	5	10	1.0	14	0.191219860689	-1	-1	-0.0728987993139	-4	-0.0270724243424	
特殊工种有哪些	5	7	0.753384912959	1	0.0197935616547	5	8	0.863743148003	1	0.0142436107354	0	-1	-0.110358235044	0	0.00554995091928	
带着空间玩转还珠	2	4	0.497041420118	0	0.0	2	4	0.520076481836	0	0.0	0	0	-0.0230350617172	0	0.0	
河北梆子名段欣赏	3	8	0.858215179316	9	0.15362709321	3	9	0.915451895044	4	0.0793285625939	0	-1	-0.0572367157276	5	0.0742985306158	
玛瑙的功效与作用	2	6	0.661691542289	6	0.104285265124	5	9	0.933739527799	1	0.0138530776155	-3	-3	-0.27204798551	5	0.0904321875087	
南京话搞笑视频	3	7	0.785353535354	9	0.152020514939	4	10	1.0	5	0.0846634281749	-1	-3	-0.214646464646	4	0.0673570867639	
失孤+下载	3	8	0.837164750958	7	0.113099816263	3	9	0.921621621622	0	0.0	0	-1	-0.0844568706638	7	0.113099816263	
幼儿园小班教育笔记	3	3	0.361587982833	2	0.0400585541746	4	6	0.7	1	0.0156802507837	-1	-3	-0.338412017167	1	0.0243783033909	
卖家评价语	1	8	0.84126984127	0	0.0	5	6	0.690391459075	1	0.0161824652216	-4	2	0.150878382195	-1	-0.0161824652216	
簸箕炊的做法	4	7	0.763450834879	6	0.106820423337	5	10	1.0	1	0.014111009239	-1	-3	-0.236549165121	5	0.0927094140976	
日照渔家乐	4	10	1.0	8	0.152007131815	4	5	0.651442307692	3	0.0762427156177	0	5	0.348557692308	5	0.0757644161968	
小英雄雨来的资料	3	3	0.351851851852	1	0.0183747600651	5	9	0.914876690533	0	0.0	-2	-6	-0.563024838681	1	0.0183747600651	
文特沃斯·厄尔·米勒三世	5	10	1.0	7	0.0974661072903	6	9	0.940776038121	10	0.165556495719	-1	1	0.0592239618788	-3	-0.0680903884291	
形而上学	5	9	0.939285714286	3	0.0525318640467	5	8	0.934782608696	0	0.0	0	1	0.00450310559006	3	0.0525318640467	
廊坊旅行社	4	7	0.793522267206	6	0.14500699848	5	5	0.654615881214	3	0.0908832677974	-1	2	0.138906385993	3	0.0541237306825	
近年来高校大学生创新训练项目	2	2	0.241917502787	1	0.0188049383944	3	5	0.623702422145	3	0.0410522176785	-1	-3	-0.381784919358	-2	-0.0222472792841	
走廊吊顶效果图	3	9	0.923146473779	11	0.172764979127	5	9	0.936170212766	10	0.173573000734	-2	0	-0.0130237389866	1	-0.000808021606643	
我是歌手中奖信息是真的吗	3	8	0.856418918919	1	0.0142466467397	3	7	0.772449869224	2	0.0317159388127	0	1	0.0839690496949	-1	-0.017469292073	
手编手链	4	10	1.0	16	0.220935938059	6	9	0.943359375	0	0.0	-2	1	0.056640625	16	0.220935938059	
eeuss绿化工具	1	1	0.124571428571	1	0.019277748274	4	7	0.739260739261	0	0.0	-3	-6	-0.614689310689	1	0.019277748274	
move+free维骨力	4	10	1.0	6	0.0947852318095	3	8	0.834914611006	1	0.017257202001	1	2	0.165085388994	5	0.0775280298084	
3194错误的解决方法	3	8	0.842446709917	7	0.109431147524	5	8	0.828300258844	1	0.0141501294219	-2	0	0.0141464510728	6	0.0952810181021	
赛轮金宇股票	4	4	0.62389380531	2	0.0258742639076	4	7	0.879834254144	2	0.0251230537418	0	-3	-0.255940448834	0	0.000751210165784	
逆战4月活动	1	9	0.919886899152	9	0.143084135399	4	9	0.925321888412	2	0.0312259071401	-3	0	-0.00543498926027	7	0.111858228259	
黄一鸣	5	9	0.933645589383	12	0.202184341346	7	10	1.0	6	0.103301673451	-2	-1	-0.0663544106167	6	0.0988826678948	
小小新娘花歌曲	4	10	1.0	8	0.104688198214	5	10	1.0	15	0.0354916445057	-1	0	0.0	-7	0.0691965537087	
孙艺珍在韩国的地位	3	8	0.817561807332	6	0.0893492680732	2	7	0.828436018957	0	0.0	1	1	-0.0108742116257	6	0.0893492680732	
丽东化工	4	7	0.754867256637	5	0.133838865678	5	5	0.659624413146	1	0.0142324655001	-1	2	0.0952428434916	4	0.119606400177	
奥迪a8选装配置价格表	2	7	0.743718592965	6	0.10171676225	3	9	0.917221693625	0	0.0	-1	-2	-0.17350310066	6	0.10171676225	
芋头糕	5	10	1.0	15	0.180569704426	6	10	1.0	5	0.110178665265	-1	0	0.0	10	0.0703910391603	
腌黄瓜	5	10	1.0	17	0.210437362986	5	10	1.0	7	0.090869457518	0	0	0.0	10	0.119567905468	
混沌战域仙翼3升4	2	9	0.930213464696	2	0.0276979141868	2	6	0.636743215031	0	0.0	0	3	0.293470249665	2	0.0276979141868	
2015年4月8日鹈鹕vs勇士	2	3	0.402255639098	3	0.0509422953294	1	2	0.205479452055	0	0.0	1	1	0.196776187043	3	0.0509422953294	
小英雄雨来教案	1	1	0.180064308682	0	0.0	4	6	0.6925795053	0	0.0	-3	-5	-0.512515196619	0	0.0	
清明节扫墓作文600字	2	9	0.932	0	0.0	2	3	0.479041916168	0	0.0	0	6	0.452958083832	0	0.0	
奥里与迷失森林攻略	2	8	0.836223506744	7	0.113753572426	5	8	0.845195729537	1	0.0161824652216	-3	0	-0.00897222279363	6	0.0975711072046	
全民斩仙媒体礼包	2	7	0.74216380182	6	0.102333850797	1	8	0.805369127517	0	0.0	1	-1	-0.0632053256968	6	0.102333850797	
川崎玫瑰折法视频	3	10	1.0	8	0.134427210187	4	10	1.0	5	0.0808899366436	-1	0	0.0	3	0.0535372735431	
隋唐英雄传5薛刚反唐	5	8	0.875457875458	5	0.0866674836935	4	9	1.0	2	0.137831961485	1	-1	-0.124542124542	3	-0.0511644777912	
泰国免税店购物攻略	3	6	0.652488687783	8	0.135961916937	4	9	0.933739527799	1	0.0138530776155	-1	-3	-0.281250840016	7	0.122108839322	
广东吴川身家过亿富豪	3	7	0.732883317261	5	0.0813309052063	4	9	0.916104146577	0	0.0	-1	-2	-0.183220829315	5	0.0813309052063	
兰舍硅藻泥缺点与优点	1	4	0.46088794926	4	0.07132359298	3	5	0.601283226398	1	0.0166719440047	-2	-1	-0.140395277138	3	0.0546516489754	
孙善武在洛阳的贡献	2	5	0.57518115942	4	0.0611160497818	2	10	1.0	0	0.0	0	-5	-0.42481884058	4	0.0611160497818	
精神文明建设工作计划	3	3	0.437086092715	1	0.0159584008891	4	4	0.547660311958	1	0.0157617772176	-1	-1	-0.110574219243	0	0.000196623671515	
奇异果和猕猴桃的区别	4	9	0.942799461642	7	0.0818807006659	5	10	1.0	4	0.0542507564794	-1	-1	-0.057200538358	3	0.0276299441865	
炉石传说新手攻略	3	8	0.872563718141	13	0.141945291295	5	10	1.0	1	0.0130762695249	-2	-2	-0.127436281859	12	0.12886902177	
谢谢观赏的动态图片	2	6	0.66137040715	5	0.0837538715977	3	4	0.508011310085	3	0.0924599434496	-1	2	0.153359097065	2	-0.00870607185188	
绝世玄天	3	6	0.732704402516	3	0.06931098174	2	4	0.432768361582	0	0.0	1	2	0.299936040934	3	0.06931098174	
死神vs火影改版	5	8	0.837320574163	6	0.103737037762	3	10	1.0	0	0.0	2	-2	-0.162679425837	6	0.103737037762	
诛仙魔域5怪点	2	8	0.835193133047	4	0.0579159819391	2	7	0.766338406446	0	0.0	0	1	0.0688547266014	4	0.0579159819391	
恶虎村	4	8	0.864433811802	9	0.160706556862	5	9	0.943506493506	7	0.111409681228	-1	-1	-0.0790726817043	2	0.049296875634	
尼尔·伍德	5	9	0.936377245509	9	0.140852124747	5	8	0.873454545455	8	0.186028429752	0	1	0.0629227000544	1	-0.0451763050053	
我的世界奇怪君	4	9	0.942645074224	12	0.171487841709	4	10	1.0	10	0.12418537058	0	-1	-0.057354925776	2	0.0473024711292	
西游降魔篇电影	5	10	1.0	8	0.118498317792	3	8	0.940654843111	0	0.0	2	2	0.0593451568895	8	0.118498317792	
饥饿游戏	6	10	1.0	14	0.151576760299	5	9	0.952224052718	8	0.136921771255	1	1	0.0477759472817	6	0.0146549890443	
关于消防科幻画	2	4	0.526462395543	8	0.194268120519	3	7	0.739260739261	0	0.0	-1	-3	-0.212798343718	8	0.194268120519	
七颗钻石ppt课件	3	4	0.497041420118	3	0.0534542428309	2	8	0.826693227092	0	0.0	1	-4	-0.329651806973	3	0.0534542428309	
菊李商隐	3	5	0.580867850099	3	0.0534542428309	4	8	0.858880778589	1	0.0147518985475	-1	-3	-0.27801292849	2	0.0387023442833	
c1驾驶证年审新规定	2	4	0.458598726115	3	0.0575399174421	3	5	0.586894586895	2	0.0345471812138	-1	-1	-0.12829586078	1	0.0229927362283	
奶油蛋糕的做法	5	10	1.0	9	0.101119485895	6	9	0.938210227273	7	0.0963171487603	-1	1	0.0617897727273	2	0.004802337135	
噪声容限的含义	3	3	0.499579478553	2	0.0313999768635	3	8	0.865030674847	0	0.0	0	-5	-0.365451196293	2	0.0313999768635	
岳阳楼	5	10	1.0	9	0.1958109302	5	9	0.955792682927	6	0.007529563932	0	1	0.0442073170732	3	0.188281366268	
北医六院	4	8	0.930894308943	4	0.154891649288	4	5	0.666103127642	3	0.0919511257973	0	3	0.264791181302	1	0.062940523491	
八极拳	5	8	0.860179885527	6	0.0892801235307	5	9	0.965935787001	14	0.0573246956646	0	-1	-0.105755901473	-8	0.0319554278662	
四平王宇最新消息	3	4	0.493557978196	3	0.0537191300599	4	5	0.552929085303	0	0.0	-1	-1	-0.059371107107	3	0.0537191300599	
win7耳机没声音怎么设置	2	9	0.924309884239	8	0.120164058698	5	8	0.856907894737	1	0.0149581339713	-3	1	0.0674019895018	7	0.105205924727	
春天在哪里教案	3	4	0.490509490509	2	0.0337023571224	3	4	0.572131147541	1	0.0149090909091	0	0	-0.0816216570315	1	0.0187932662133	
四则运算ppt课件	3	4	0.491542288557	2	0.0335682183876	2	4	0.461855670103	0	0.0	1	0	0.0296866184541	2	0.0335682183876	
黄河颂朗诵	4	7	0.790296052632	8	0.13316865584	4	7	0.79593432369	5	0.0780439263629	0	0	-0.0056382710588	3	0.0551247294774	
高铁的对联	2	6	0.681338028169	1	0.0148486177287	2	7	0.786885245902	0	0.0	0	-1	-0.105547217733	1	0.0148486177287	
xman全集	3	7	0.803695150115	5	0.0760078527664	4	8	0.820247933884	0	0.0	-1	-1	-0.0165527837688	5	0.0760078527664	
三一重工	5	8	0.89375	4	0.0494795539033	4	8	0.941649899396	4	0.053851594415	1	0	-0.0478998993964	0	-0.00437204051163	
剑极天下最新章节	3	7	0.781115879828	1	0.0144789954848	3	8	0.887886597938	4	0.0605798969072	0	-1	-0.10677071811	-3	-0.0461009014224	
杜威十进分类法	4	10	1.0	1	0.0217601857965	3	7	0.783761391881	1	0.015069669353	1	3	0.216238608119	0	0.00669051644352	
红石坊国语版	2	7	0.7509765625	7	0.118822969912	3	10	1.0	1	0.00236716192395	-1	-3	-0.2490234375	6	0.116455807988	
大时代粤语	3	9	0.940434477926	7	0.0883375058289	4	8	1.0	2	0.0351374584381	-1	1	-0.0595655220743	5	0.0532000473908	
惠州婚庆	4	7	0.772321428571	4	0.128569768986	3	5	0.642269736842	4	0.097990430622	1	2	0.130051691729	0	0.0305793383637	
2015教师政治学习内容	2	4	0.506292352372	0	0.0	3	4	0.488235294118	1	0.0178324420677	-1	0	0.0180570582541	-1	-0.0178324420677	
威海职业学院单招	3	10	1.0	1	0.0148355582584	4	6	0.716150081566	1	0.0148361263533	-1	4	0.283849918434	0	-5.68094876202e-07	
组织机构代码证年检	4	5	0.613636363636	6	0.105910780669	4	6	0.717073170732	1	0.0147878787879	0	-1	-0.103436807095	5	0.0911229018813	
冒险岛主教	4	7	0.774734982332	5	0.084042126972	4	10	1.0	4	0.0636236094381	0	-3	-0.225265017668	1	0.0204185175339	
学习日志	1	1	0.177419354839	0	0.0	5	7	0.783940397351	1	0.0150571944612	-4	-6	-0.606521042512	-1	-0.0150571944612	
我的世界电梯怎么做	4	10	1.0	15	0.211301169432	5	10	1.0	10	0.141988878831	-1	0	0.0	5	0.0693122906012	
等着我寻亲2015最新	2	10	1.0	1	0.0151418579352	4	7	0.807663964628	8	0.0947330340993	-2	3	0.192336035372	-7	-0.0795911761641	
支付宝提现多久到账	5	10	1.0	6	0.0893419162086	5	9	0.893987341772	3	0.0591175555094	0	1	0.106012658228	3	0.0302243606992	
终极西游	3	9	0.93536121673	4	0.0622556433488	4	7	0.79609375	5	0.0779829545455	-1	2	0.13926746673	-1	-0.0157273111966	
王立军加刑	2	4	0.458598726115	3	0.0537198399356	2	7	0.739260739261	0	0.0	0	-3	-0.280662013146	3	0.0537198399356	
玉石的种类	4	9	0.932054356515	13	0.211004430656	5	10	1.0	9	0.142159747767	-1	-1	-0.0679456434852	4	0.0688446828895	
毛蛋的做法	4	9	0.930725346373	6	0.0896101653321	4	8	0.848958333333	4	0.0708585858586	0	1	0.0817670130399	2	0.0187515794735	
你是幸运玩家吗	3	6	0.662027833002	4	0.0670697007546	3	10	1.0	1	0.0164458326484	0	-4	-0.337972166998	3	0.0506238681062	
铁板鱿鱼	6	10	1.0	13	0.171483944551	8	10	1.0	11	0.179693817822	-2	0	0.0	2	-0.00820987327068	
金孔雀轻轻跳教案	3	3	0.404404404404	1	0.0168849146544	5	9	0.929440389294	1	0.0147518985475	-2	-6	-0.52503598489	0	0.00213301610691	
毛线拖鞋编织花样	4	9	0.934514637904	15	0.218175230982	6	9	0.936588921283	6	0.0924781341108	-2	0	-0.00207428337833	9	0.125697096871	
冰山上的来客	6	9	0.949344457688	6	0.145973920094	4	7	1.0	2	0.137831961485	2	2	-0.0506555423123	4	0.00814195860959	
正当防卫2和gta5地图	3	5	0.556859205776	3	0.0456715606673	3	8	0.85328836425	4	0.0833972098728	0	-3	-0.296429158473	-1	-0.0377256492055	
魔力宝贝	3	10	1.0	10	0.14219068692	4	7	0.872148541114	10	0.11527176272	-1	3	0.127851458886	0	0.0269189241996	
有效教学模式学习心得	1	1	0.177419354839	0	0.0	3	3	0.437673130194	1	0.0167950977923	-2	-2	-0.260253775355	-1	-0.0167950977923	
cf会员	5	7	0.797169811321	9	0.129160237077	5	9	0.935459940653	0	0.0	0	-2	-0.138290129332	9	0.129160237077	
免费领q币活动	3	6	0.724025974026	5	0.080871614445	4	8	0.85077186964	1	0.0155995633869	-1	-2	-0.126745895614	4	0.0652720510582	
上海同济医院	4	8	0.929693961952	5	0.139010088524	5	5	0.671577655003	3	0.0856788883308	-1	3	0.258116306949	2	0.0533312001936	
武神风暴最新章节	1	5	0.611313868613	0	0.0	1	1	0.103092783505	0	0.0	0	4	0.508221085108	0	0.0	
火影忍者贴吧	4	8	0.862903225806	8	0.102447835472	5	7	0.821349147517	3	0.0449518161601	-1	1	0.0415540782898	5	0.0574960193118	
十大作曲家声乐作品音乐会	2	7	0.775922671353	9	0.158699799426	5	8	0.876701361089	5	0.0799184802387	-3	-1	-0.100778689736	4	0.0787813191876	
护甲穿透好还是攻击力	3	5	0.565338276182	3	0.0468990632246	2	8	0.863636363636	0	0.0	1	-3	-0.298298087455	3	0.0468990632246	
撕名牌游戏规则	3	7	0.744744744745	6	0.101309487927	6	7	0.800458715596	2	0.0278120656102	-3	0	-0.0557139708516	4	0.0734974223164	
夜莺的歌声ppt完美版	2	7	0.723427331887	2	0.0365900862034	3	7	0.744868035191	0	0.0	-1	0	-0.0214407033034	2	0.0365900862034	
宝宝取名	5	8	0.883000688231	5	0.0661699803253	4	8	0.860353130016	2	0.0291959725668	1	0	0.0226475582152	3	0.0369740077585	
虐杀原形2修改器	4	10	1.0	12	0.132275593853	3	10	1.0	2	0.0341863274016	1	0	0.0	10	0.0980892664512	
枪魂冰子	4	8	0.870466321244	8	0.114101996135	5	8	0.879025923016	1	0.0142883667785	-1	0	-0.00855960177297	7	0.0998136293563	
试婚99天全文免费阅读	1	3	0.351145038168	3	0.0551843939142	2	2	0.268907563025	0	0.0	-1	1	0.0822374751427	3	0.0551843939142	
非恶意逾期证明范本	5	9	0.927163667524	10	0.168405946681	2	3	0.42492917847	0	0.0	3	6	0.502234489053	10	0.168405946681	
我心中的美丽乡村	3	6	0.675572519084	4	0.0656694287579	4	7	0.77519379845	1	0.0156667449691	-1	-1	-0.0996212793656	3	0.0500026837888	
化妆需要的基本用品	3	10	1.0	1	0.0138603366802	5	10	1.0	1	0.0135638261813	-2	0	0.0	0	0.000296510498902	
神纹道无弹窗	3	8	0.862236628849	1	0.0136693920095	3	3	0.489949748744	1	0.00205573321151	0	5	0.372286880106	0	0.011613658798	
台湾印象武夷大红袍经典礼盒	2	8	0.839924670433	8	0.13045456773	2	9	0.89776733255	0	0.0	0	-1	-0.0578426621168	8	0.13045456773	
皮蛋瘦肉粥	5	9	0.939501779359	12	0.145228803133	6	10	1.0	11	0.129270341752	-1	-1	-0.0604982206406	1	0.0159584613809	
尧的意思	2	3	0.40618762475	2	0.0384454140047	3	3	0.452830188679	1	0.0163423997386	-1	0	-0.0466425639287	1	0.0221030142661	
双簧视频	1	10	1.0	13	0.200652379911	3	10	1.0	1	0.0155861961517	-2	0	0.0	12	0.185066183759	
傣族舞蹈视频	4	10	1.0	7	0.120602338236	4	8	0.857726901063	7	0.113176243217	0	2	0.142273098937	0	0.00742609501896	
卡桑德拉大桥	4	8	0.863563402889	6	0.117146616384	4	9	1.0	0	0.0	0	-1	-0.136436597111	6	0.117146616384	
绵阳婚纱影楼	3	9	0.932486100079	9	0.178725075368	3	3	0.513966480447	2	0.100071102082	0	6	0.418519619633	7	0.0786539732859	
2015年热点新闻	4	6	0.711375212224	8	0.127918278728	4	8	0.856198347107	1	0.0150323065364	0	-2	-0.144823134883	7	0.112885972192	
七台河矿务局刘英志	2	2	0.229418221734	1	0.0185159492204	3	9	0.919069767442	0	0.0	-1	-7	-0.689651545708	1	0.0185159492204	
时代商报胡秀丽	2	4	0.459745762712	3	0.0536060267154	3	6	0.635602094241	0	0.0	-1	-2	-0.175856331529	3	0.0536060267154	
评书鬼吹灯全集	3	7	0.774336283186	9	0.147085238675	3	10	1.0	2	0.0337380801017	0	-3	-0.225663716814	7	0.113347158573	
海贼王全集迅雷种子	4	7	0.751219512195	5	0.0822830719014	2	7	0.740298507463	0	0.0	2	0	0.0109210047324	5	0.0822830719014	
小班幼儿舞蹈视频大全	3	10	1.0	11	0.180405747737	3	10	1.0	9	0.142155924571	0	0	0.0	2	0.0382498231661	
